Date,CPI_lag_3,FED FUNDS RATE_lag_3,RETAIL SALES_lag_1,R GDP_lag_2,H Total Sales_lag_2,TCS_lag_1
1/1/2018,,,,,,
2/1/2018,,,-0.9,,,0.91296
3/1/2018,,,-0.1,0.7,6.67,0.18094
4/1/2018,0.54,1.41,0.1,0.7,12.5,1.68573
5/1/2018,0.45,1.42,1.4,0.7,22.22,0.05921
6/1/2018,0.23,1.51,-0.8,0.7,-7.58,0.47337
7/1/2018,0.4,1.69,0.3,0.7,1.64,-0.29446
8/1/2018,0.42,1.7,0.5,0.7,-9.68,0.05907
9/1/2018,0.16,1.82,-1.2,0.7,-7.14,0.1771
10/1/2018,0.01,1.91,-0.1,0.7,-9.62,0.23571
11/1/2018,0.06,1.91,0.5,0.7,-2.13,-0.29394
12/1/2018,0.12,1.95,0,0.2,-6.52,0.11792
1/1/2019,0.18,2.19,0.2,0.2,2.33,0.17668
2/1/2019,-0.33,2.2,-1.1,0.2,-13.64,0.70547
3/1/2019,-0.32,2.27,0.1,0.5,28.95,0.17513
4/1/2019,0.19,2.4,0.7,0.5,16.33,-0.05828
5/1/2019,0.42,2.4,0.7,0.5,19.3,1.22449
6/1/2019,0.56,2.41,0.5,0.7,-5.88,0.28802
7/1/2019,0.53,2.42,0.6,0.7,-12.5,0.68926
8/1/2019,0.21,2.39,0.2,0.7,17.86,-0.22818
9/1/2019,0.02,2.38,0,0.9,-16.67,0.4574
10/1/2019,0.17,2.4,1.2,0.9,3.64,-0.17075
11/1/2019,-0.01,2.13,-1.1,0.9,-1.75,-0.05701
12/1/2019,0.08,2.04,0.7,0.4,-1.79,-0.05705
1/1/2020,0.23,1.83,-1.7,0.4,-9.09,-0.11416
2/1/2020,-0.05,1.55,3.7,0.4,-2,0.97143
3/1/2020,-0.09,1.55,0.9,-1.2,20.41,0.28297
4/1/2020,0.39,1.55,1,-1.2,6.78,0.56433
5/1/2020,0.27,1.58,1.9,-0.7,-6.35,0.3367
6/1/2020,-0.22,0.65,1.2,-1,-11.86,0
7/1/2020,-0.67,0.05,1.4,-1,23.08,-0.11186
8/1/2020,0,0.05,2.7,-0.9,23.44,0.22396
9/1/2020,0.55,0.08,1.8,-1,7.59,-0.3352
10/1/2020,0.51,0.09,1,-0.9,-4.71,0.44843
11/1/2020,0.32,0.1,-0.8,-0.9,-4.94,-0.16741
12/1/2020,0.14,0.09,-1.7,1,1.3,-0.50307
1/1/2021,0.04,0.09,-0.2,1,-21.79,0.44944
2/1/2021,-0.06,0.09,-0.9,1,3.28,0.55928
3/1/2021,0.09,0.09,-0.9,1.5,22.22,0.77864
4/1/2021,0.43,0.09,-0.7,1.5,-9.09,0.49669
5/1/2021,0.55,0.08,0,1.5,18.57,1.53762
6/1/2021,0.71,0.07,-0.5,1.7,-10.84,0.21633
7/1/2021,0.82,0.07,-0.6,1.7,-12.16,0.21587
8/1/2021,0.8,0.06,-0.4,1.7,-6.15,1.09532
9/1/2021,0.93,0.08,0,0.7,1.64,1.28799
10/1/2021,0.48,0.1,0.8,0.7,-11.29,0.41493
11/1/2021,0.21,0.09,0.5,0.7,5.45,0.22572
12/1/2021,0.27,0.08,-0.1,1.7,-12.07,0.70125
1/1/2022,0.83,0.08,-2.7,1.7,5.88,0.56664
2/1/2022,0.49,0.08,1.1,1.7,12.96,2.02161
3/1/2022,0.31,0.08,2.5,-0.4,14.75,1.1683
4/1/2022,0.84,0.08,0,-0.4,1.43,0.79137
5/1/2022,0.91,0.08,1.5,-0.4,-4.23,2.11292
6/1/2022,1.34,0.2,-1.1,-0.1,-17.65,0.95348
7/1/2022,0.56,0.33,-1.2,-0.1,3.57,1.18938
8/1/2022,1.1,0.77,0.1,-0.1,-17.24,1.96993
9/1/2022,1.37,1.21,0.6,0.8,-8.33,1.06269
10/1/2022,-0.01,1.68,-2.1,0.8,15.91,0.81667
11/1/2022,-0.04,2.33,2,0.8,-13.73,0.50525
12/1/2022,0.22,2.56,-1.1,0.7,2.27,0.81919
