Date,CPI,FED FUNDS RATE,RETAIL SALES,U RATE,R GDP,H Total Sales,TCS,PPI,Housing Starts,Industrial Production
1/1/2018,0.54,1.41,-0.9,4,0.7,6.67,0.91296,1.65226,10.5,0
2/1/2018,0.45,1.42,-0.1,4.1,0.7,12.5,0.18094,1.53298,-1.7,0.4
3/1/2018,0.23,1.51,0.1,4,0.7,22.22,1.68573,-0.76576,3.5,0.6
4/1/2018,0.4,1.69,1.4,4,0.7,-7.58,0.05921,0.86913,-2.9,1.1
5/1/2018,0.42,1.7,-0.8,3.8,0.7,1.64,0.47337,0.58506,5.6,-0.9
6/1/2018,0.16,1.82,0.3,4,0.7,-9.68,-0.29446,-1.36472,-11.7,0.8
7/1/2018,0.01,1.91,0.5,3.8,0.7,-7.14,0.05907,-0.58592,0,0.2
8/1/2018,0.06,1.91,-1.2,3.8,0.7,-9.62,0.1771,0.0866,7.5,0.7
9/1/2018,0.12,1.95,-0.1,3.7,0.7,-2.13,0.23571,-1.04148,-3.3,0
10/1/2018,0.18,2.19,0.5,3.8,0.2,-6.52,-0.29394,-1.28826,-2.2,-0.1
11/1/2018,-0.33,2.2,0,3.8,0.2,2.33,0.11792,-0.88246,-3.5,-0.1
12/1/2018,-0.32,2.27,0.2,3.9,0.2,-13.64,0.17668,-0.69871,-7.5,-0.1
1/1/2019,0.19,2.4,-1.1,4,0.5,28.95,0.70547,0.50462,13.1,-0.6
2/1/2019,0.42,2.4,0.1,3.8,0.5,16.33,0.17513,1.39215,-8.4,-0.4
3/1/2019,0.56,2.41,0.7,3.8,0.5,19.3,-0.05828,0.86451,6.3,0.1
4/1/2019,0.53,2.42,0.7,3.6,0.7,-5.88,1.22449,2.59193,6.7,-0.5
5/1/2019,0.21,2.39,0.5,3.7,0.7,-12.5,0.28802,0.72294,2.2,0.2
6/1/2019,0.02,2.38,0.6,3.6,0.7,17.86,0.68926,1.38805,-5.6,0
7/1/2019,0.17,2.4,0.2,3.7,0.9,-16.67,-0.22818,1.883,-0.2,-0.4
8/1/2019,-0.01,2.13,0,3.7,0.9,3.64,0.4574,0.84622,11.2,0.7
9/1/2019,0.08,2.04,1.2,3.5,0.9,-1.75,-0.17075,0.70164,-5.3,-0.3
10/1/2019,0.23,1.83,-1.1,3.6,0.4,-1.79,-0.05701,0.12816,2.4,-0.8
11/1/2019,-0.05,1.55,0.7,3.6,0.4,-9.09,-0.05705,1.60086,1.1,0.3
12/1/2019,-0.09,1.55,-1.7,3.6,0.4,-2,-0.11416,0.25627,14.5,-0.3
1/1/2020,0.39,1.55,3.7,3.5,-1.2,20.41,0.97143,1.80775,2,-0.5
2/1/2020,0.27,1.58,0.9,3.5,-1.2,6.78,0.28297,0.79551,0.1,0.4
3/1/2020,-0.22,0.65,1,4.4,-0.7,-6.35,0.56433,0.46916,-19.2,-3.8
4/1/2020,-0.67,0.05,1.9,3.9,-1,-11.86,0.3367,-2.8307,-26.1,-13.2
5/1/2020,0,0.05,1.2,3.9,-1,23.08,0,-0.29089,12.5,1.6
6/1/2020,0.55,0.08,1.4,3.9,-0.9,23.44,-0.11186,0.08701,20.3,6.3
7/1/2020,0.51,0.09,2.7,10.2,-1,7.59,0.22396,0.80646,19,3.8
8/1/2020,0.32,0.1,1.8,8.4,-0.9,-4.71,-0.3352,0.80503,-8.9,0.9
9/1/2020,0.14,0.09,1,7.9,-0.9,-4.94,0.44843,1.22527,6.2,0
10/1/2020,0.04,0.09,-0.8,6.9,1,1.3,-0.16741,1.38186,4.7,0.8
11/1/2020,-0.06,0.09,-1.7,6.7,1,-21.79,-0.50307,1.12165,0.7,0.3
12/1/2020,0.09,0.09,-0.2,6.7,1,3.28,0.44944,1.51524,7.1,1
1/1/2021,0.43,0.09,-0.9,6.3,1.5,22.22,0.55928,1.08614,-3,1.1
2/1/2021,0.55,0.08,-0.9,6.2,1.5,-9.09,0.77864,-0.85627,-10.7,-3.1
3/1/2021,0.71,0.07,-0.7,6.1,1.5,18.57,0.49669,1.95551,19.7,2.7
4/1/2021,0.82,0.07,0,6.1,1.7,-10.84,1.53762,0.49784,-12,0.2
5/1/2021,0.8,0.06,-0.5,5.8,1.7,-12.16,0.21633,0.83644,6.6,0.8
6/1/2021,0.93,0.08,-0.6,5.9,1.7,-6.15,0.21587,0.37258,3.7,0.4
7/1/2021,0.48,0.1,-0.4,5.4,0.7,1.64,1.09532,0.57396,-5.5,0.7
8/1/2021,0.21,0.09,0,5.2,0.7,-11.29,1.28799,0.26085,0.2,0
9/1/2021,0.27,0.08,0.8,4.8,0.7,5.45,0.41493,-0.53241,-1.1,-1
10/1/2021,0.83,0.08,0.5,4.5,1.7,-12.07,0.22572,0.70257,0.3,1.5
11/1/2021,0.49,0.08,-0.1,4.2,1.7,5.88,0.70125,1.26854,9.1,0.6
12/1/2021,0.31,0.08,-2.7,3.9,1.7,12.96,0.56664,0.95202,3.6,-0.2
1/1/2022,0.84,0.08,1.1,4,-0.4,14.75,2.02161,2.70909,-5.8,0.4
2/1/2022,0.91,0.08,2.5,3.8,-0.4,1.43,1.1683,1.53702,6.7,0.7
3/1/2022,1.34,0.2,0,3.6,-0.4,-4.23,0.79137,0.85818,-3.4,0.7
4/1/2022,0.56,0.33,1.5,3.6,-0.1,-17.65,2.11292,0.7195,5.2,0.7
5/1/2022,1.1,0.77,-1.1,3.6,-0.1,3.57,0.95348,0.72368,-13.5,-0.1
6/1/2022,1.37,1.21,-1.2,3.6,-0.1,-17.24,1.18938,0.55821,0.8,-0.2
7/1/2022,-0.01,1.68,0.1,3.5,0.8,-8.33,1.96993,0.78008,-12.6,0.5
8/1/2022,-0.04,2.33,0.6,3.7,0.8,15.91,1.06269,-1.1052,9.5,-0.1
9/1/2022,0.22,2.56,-2.1,3.5,0.8,-13.73,0.81667,0.541,-2.9,0.2
10/1/2022,0.41,3.08,2,3.7,0.7,2.27,0.50525,0.04681,-2.7,0
11/1/2022,-0.1,3.78,-1.1,3.6,0.7,-4.44,0.81919,1.76687,-0.5,-0.6
12/1/2022,-0.31,4.1,-1.6,3.5,0.7,9.3,0.74659,-0.69331,-3.4,-1
