Date,Orders,Month,CPI,FED FUNDS RATE,RETAIL SALES,U RATE,R GDP,H Total Sales,TCS,PPI
0,-1.8838764925494755,2/1/2018,0.45,1.42,-0.1,4.1,0.7,12.5,0.18094,1.53298
1,1.5006116190221976,3/1/2018,0.23,1.51,0.1,4.0,0.7,22.22,1.68573,-0.76576
2,-0.18929988170008605,4/1/2018,0.4,1.69,1.4,4.0,0.7,-7.58,0.05921,0.86913
3,0.6301841523024396,5/1/2018,0.42,1.7,-0.8,3.8,0.7,1.64,0.47337,0.58506
4,-0.5570173751456757,6/1/2018,0.16,1.82,0.3,4.0,0.7,-9.68,-0.29446,-1.36472
5,-0.42936756000812504,7/1/2018,0.01,1.91,0.5,3.8,0.7,-7.14,0.05907,-0.58592
6,0.6279438958065191,8/1/2018,0.06,1.91,-1.2,3.8,0.7,-9.62,0.1771,0.0866
7,-0.8302390573881412,9/1/2018,0.12,1.95,-0.1,3.7,0.7,-2.13,0.23571,-1.04148
8,0.6081400283825817,10/1/2018,0.18,2.19,0.5,3.8,0.2,-6.52,-0.29394,-1.28826
9,-0.6882516006766992,11/1/2018,-0.33,2.2,0.0,3.8,0.2,2.33,0.11792,-0.88246
10,-0.0910888291241279,12/1/2018,-0.32,2.27,0.2,3.9,0.2,-13.64,0.17668,-0.69871
11,0.4131929081075789,1/1/2019,0.19,2.4,-1.1,4.0,0.5,28.95,0.70547,0.50462
12,-0.4535623301640665,2/1/2019,0.42,2.4,0.1,3.8,0.5,16.33,0.17513,1.39215
13,0.428068211240491,3/1/2019,0.56,2.41,0.7,3.8,0.5,19.3,-0.05828,0.86451
14,0.017294780148506383,4/1/2019,0.53,2.42,0.7,3.6,0.7,-5.88,1.22449,2.59193
15,-0.04395383244996037,5/1/2019,0.21,2.39,0.5,3.7,0.7,-12.5,0.28802,0.72294
16,0.11501476850055897,6/1/2019,0.02,2.38,0.6,3.6,0.7,17.86,0.68926,1.38805
17,-0.22796850102487118,7/1/2019,0.17,2.4,0.2,3.7,0.9,-16.67,-0.22818,1.883
18,0.20717892074272878,8/1/2019,-0.01,2.13,0.0,3.7,0.9,3.64,0.4574,0.84622
19,0.36162220357148883,9/1/2019,0.08,2.04,1.2,3.5,0.9,-1.75,-0.17075,0.70164
20,0.6909399084718039,10/1/2019,0.23,1.83,-1.1,3.6,0.4,-1.79,-0.05701,0.12816
21,-1.8150110078648791,11/1/2019,-0.05,1.55,0.7,3.6,0.4,-9.09,-0.05705,1.60086
22,0.1451238158057307,12/1/2019,-0.09,1.55,-1.7,3.6,0.4,-2.0,-0.11416,0.25627
23,0.463240238226443,1/1/2020,0.39,1.55,3.7,3.5,-1.2,20.41,0.97143,1.80775
24,-0.6478821786202116,2/1/2020,0.27,1.58,-1.4,3.5,-1.2,6.78,0.28297,0.79551
25,1.2245690058000693,3/1/2020,-0.22,0.65,-22.2,4.4,-1.2,-6.35,0.56433,0.46916
26,-1.305890316601984,4/1/2020,-0.67,0.05,-50.4,14.7,-8.5,-11.86,0.3367,-2.8307
27,0.13714850268025364,5/1/2020,0.0,0.05,79.2,13.2,-8.5,23.08,0.0,-0.29089
28,1.0902432263046755,6/1/2020,0.55,0.08,39.0,11.0,-8.5,23.44,-0.11186,0.08701
29,1.4189336593861328,7/1/2020,0.51,0.09,2.7,10.2,7.9,7.59,0.22396,0.80646
30,0.3659234960436559,8/1/2020,0.32,0.1,5.1,8.4,7.9,-4.71,-0.3352,0.80503
31,-0.17944454532323295,9/1/2020,0.14,0.09,1.0,7.9,7.9,-4.94,0.44843,1.22527
32,-0.9468668105657627,10/1/2020,0.04,0.09,-0.8,6.9,1.0,1.3,-0.16741,1.38186
33,-1.9002303649696952,11/1/2020,-0.06,0.09,-1.7,6.7,1.0,-21.79,-0.50307,1.12165
34,0.44625909398736574,12/1/2020,0.09,0.09,-0.2,6.7,1.0,3.28,0.44944,1.51524
35,-0.23007434213103647,1/1/2021,0.43,0.09,13.5,6.3,1.5,22.22,0.55928,1.08614
36,-0.3364865256872607,2/1/2021,0.55,0.08,-5.2,6.2,1.5,-9.09,0.77864,-0.85627
37,0.7878085993554067,3/1/2021,0.71,0.07,7.2,6.1,1.5,18.57,0.49669,1.95551
38,-0.9495999234907859,4/1/2021,0.82,0.07,0.0,6.1,1.7,-10.84,1.53762,0.49784
39,-0.12711215357852979,5/1/2021,0.8,0.06,-0.5,5.8,1.7,-12.16,0.21633,0.83644
40,-0.4816999517528281,6/1/2021,0.93,0.08,-0.6,5.9,1.7,-6.15,0.21587,0.37258
41,0.3888637225618823,7/1/2021,0.48,0.1,-0.4,5.4,0.7,1.64,1.09532,0.57396
42,1.6097139025787235,8/1/2021,0.21,0.09,0.0,5.2,0.7,-11.29,1.28799,0.26085
43,-0.7034853448489586,9/1/2021,0.27,0.08,0.8,4.8,0.7,5.45,0.41493,-0.53241
44,1.0790867489549913,10/1/2021,0.83,0.08,0.5,4.5,1.7,-12.07,0.22572,0.70257
45,-1.7220851684140963,11/1/2021,0.49,0.08,-0.1,4.2,1.7,5.88,0.70125,1.26854
46,-0.758819680298195,12/1/2021,0.31,0.08,-2.7,3.9,1.7,12.96,0.56664,0.95202
47,1.1544041723478387,1/1/2022,0.84,0.08,1.1,4.0,-0.4,14.75,2.02161,2.70909
48,-1.2415053449092284,2/1/2022,0.91,0.08,2.5,3.8,-0.4,1.43,1.1683,1.53702
49,1.431613511153043,3/1/2022,1.34,0.2,0.0,3.6,-0.4,-4.23,0.79137,0.85818
50,-1.3360889741669921,4/1/2022,0.56,0.33,1.5,3.6,-0.1,-17.65,2.11292,0.7195
51,0.02087919054197873,5/1/2022,1.1,0.77,-1.1,3.6,-0.1,3.57,0.95348,0.72368
52,0.37891698371999527,6/1/2022,1.37,1.21,-1.2,3.6,-0.1,-17.24,1.18938,0.55821
53,-0.497964213913211,7/1/2022,-0.01,1.68,0.1,3.5,0.8,-8.33,1.96993,0.78008
54,0.7164788325252975,8/1/2022,-0.04,2.33,0.6,3.7,0.8,15.91,1.06269,-1.1052
55,-0.466062961411303,9/1/2022,0.22,2.56,-2.1,3.5,0.8,-13.73,0.81667,0.541
56,0.06572912559030786,10/1/2022,0.41,3.08,2.0,3.7,0.7,2.27,0.50525,0.04681
57,-0.07195703864896719,11/1/2022,-0.1,3.78,-1.1,3.6,0.7,-4.44,0.81919,1.76687
58,-0.42573834448473336,12/1/2022,-0.31,4.1,-1.6,3.5,0.7,9.3,0.74659,-0.69331
